Code,Sex,BirthDay,BirthMonth,BirthYear,MumCode,BirthWt,DaysFrom1May
BED12,2,29,5,2012,GYP07,6.710000191,28
BED14,2,5,6,2014,GYP07,6.925,35
BED15,1,26,5,2015,GYP07,6.949999809,25
BED17,1,27,5,2017,GYP07,8.039999619,26
BEE88,2,15,6,1988,PET85,6.580000191,45
BEE89,2,6,6,1989,PET85,4.680000095,36
BEE90,1,19,5,1990,PET85,6.419999905,18
BEE91,1,5,6,1991,PET85,5.120000191,35
BEE94,1,3,6,1994,PET85,6.41,33
BEL08,2,1,6,2008,TIN02,6.839999809,31
BET74,2,26,5,1974,BLT68,8.109999809,25
BET75,2,23,5,1975,BLT68,8.56,22
BET76,2,7,6,1976,BLT68,7.220000191,37
BET78,2,28,5,1978,BLT68,7.120000191,27
BET80,1,10,6,1980,BLT68,7.380000381,40
BGE20,2,26,5,2020,SHO16,7.180000095,25
BGE22,1,19,5,2022,SHO16,6.539999905,18
BHN04,2,26,5,2004,MAS99,6.35,25
BIE00,2,7,6,2000,CFI94,4.220000191,37
BIE01,1,17,6,2001,CFI94,5.91,47
BIE02,2,23,6,2002,CFI94,6.06,53
BIE03,2,2,6,2003,CFI94,6.28,32
BIE04,2,10,6,2004,CFI94,5.580000191,40
BIE06,1,7,6,2006,CFI94,5.860000095,37
BIE08,1,27,6,2008,CFI94,5.540000095,57
BIE97,1,15,6,1997,CFI94,4.149999905,45
BIE99,2,31,5,1999,CFI94,4.940000191,30
BIG75,1,16,6,1975,BIGHE,7.119999809,46
BIG76,1,14,7,1976,BIGHE,8.899999809,74
BIG78,2,6,6,1978,BIGHE,7.240000191,36
BIG80,1,9,8,1980,BIGHE,6.800000381,100
BIJ13,2,27,5,2013,OPA07,6.199999905,26
BIJ16,1,31,5,2016,OPA07,7.259999809,30
BIL84,1,6,6,1984,WHO79,5.949999905,36
BIL85,2,16,6,1985,WHO79,6.599999619,46
BIS81,1,15,6,1981,CIN76,4.979999905,45
BIS83,1,20,9,1983,CIN76,9.78,142
BIS84,2,24,6,1984,CIN76,7.260000191,54
BIT03,2,4,6,2003,SQU97,6.959999619,34
BLC76,1,2,7,1976,BLO72,4.775,62
BLC77,1,6,6,1977,BLO72,7.455,36
BLC79,1,3,6,1979,BLO72,6.580000191,33
BLC80,2,8,6,1980,BLO72,7.479999809,38
BLC82,2,18,6,1982,BLO72,6.239999905,48
BLF95,1,11,6,1995,BLUFF,5.28,41
BLI19,1,5,6,2019,CBS15,5.940000191,35
BLI20,1,4,6,2020,CBS15,5.795000095,34
BLI21,1,26,5,2021,CBS15,5.56,25
BLO74,1,11,6,1974,BLOSS,6.080000191,41
BLO75,1,8,6,1975,BLOSS,7.119999809,38
BLO77,2,3,6,1977,BLOSS,5.979999905,33
BLO78,2,9,6,1978,BLOSS,7.41,39
BLO82,1,19,6,1982,BLOSS,5.180000095,49
BLT75,1,24,5,1975,BLTLE,7.075000191,23
BLT76,2,15,6,1976,BLTLE,6.820000095,45
BLT78,2,11,7,1978,BLTLE,6.78,71
BLTLE,1,28,5,1961,,5.679999809,27
BMA10,1,30,5,2010,CHN06,6.449999905,29
BMA11,2,3,6,2011,CHN06,,33
BMA12,2,1,6,2012,CHN06,,31
BMA13,2,7,6,2013,CHN06,,37
BMA17,2,31,5,2017,CHN06,,30
BMA19,2,21,5,2019,CHN06,,20
BMB10,1,4,6,2010,SSK06,6.619999809,34
BMB13,1,6,6,2013,SSK06,6.92,36
BMY17,2,27,5,2017,GNB12,7.91,26
BMY19,2,15,6,2019,GNB12,7.594999809,45
BMY21,1,21,5,2021,GNB12,8.019999809,20
BMY22,1,7,6,2022,GNB12,7.094999809,37
BNG17,1,30,5,2017,DID13,3.7,29
BNJ01,1,24,5,2001,FDL96,3.44,23
BNN00,1,9,6,2000,OAT94,7.139999809,39
BNN01,1,29,5,2001,OAT94,7.180000095,28
BNN02,2,26,5,2002,OAT94,8.040000381,25
BNN98,1,14,6,1998,OAT94,6.195000191,44
BNN99,1,6,6,1999,OAT94,7.839999809,36
BNS07,1,28,6,2007,PCL02,8.160000381,58
BNS09,1,25,5,2009,PCL02,7.120000191,24
BNT15,2,4,6,2015,BMB10,6.400000095,34
BNT16,2,10,6,2016,BMB10,7.009999905,40
BNX93,1,8,6,1993,FUL89,4.940000191,38
BNX94,1,6,6,1994,FUL89,5.120000191,36
BNX95,1,13,6,1995,FUL89,6.500000191,43
BNX96,2,3,6,1996,FUL89,5.710000095,33
BNX97,2,10,6,1997,FUL89,6.859999905,40
BNX98,2,8,6,1998,FUL89,7.725000191,38
BNX99,2,6,6,1999,FUL89,6.150000191,36
BOB20,1,21,5,2020,VES15,5.455,20
BOB22,1,30,5,2022,VES15,6.41,29
BOB23,1,21,5,2023,VES15,3.265000095,20
BOE20,1,22,5,2020,CES17,6.840000095,21
BOE21,2,26,5,2021,CES17,5.94,25
BOL21,2,14,6,2021,CHM17,6.120000191,44
BOL23,2,25,5,2023,CHM17,6.64,24
BOM04,2,14,6,2004,BIT01,7.119999809,44
BOM06,2,27,5,2006,BIT01,8.030000191,26
BOM07,2,23,5,2007,BIT01,7.360000095,22
BON83,2,8,6,1983,TBONE,6.379999619,38
BOO10,2,5,6,2010,YOG06,6.024999905,35
BOO12,2,27,5,2012,YOG06,5.440000191,26
BOO13,1,24,5,2013,YOG06,5.820000095,23
BOO14,1,4,6,2014,YOG06,6.44,34
BOO15,1,6,6,2015,YOG06,7.75,36
BOO16,1,1,6,2016,YOG06,5.810000095,31
BOO17,2,4,6,2017,YOG06,6.32,34
BOO18,1,5,6,2018,YOG06,3.974999809,35
BOO19,1,20,6,2019,YOG06,6.929999809,50
BOO20,2,3,6,2020,YOG06,6.695000191,33
BOO22,1,6,6,2022,YOG06,4.840000095,36
BOT81,1,30,6,1981,GL375,5.925,60
BOT84,2,12,6,1984,GL375,5.200000191,42
BOT85,2,11,7,1985,GL375,5.419999905,71
BR274,1,30,5,1974,BRO70,3.039999809,29
BR276,1,9,6,1976,BRO70,3.540000095,39
BR278,2,13,6,1978,BRO70,3.940000191,43
BR280,2,20,6,1980,BRO70,4.41,50
BR281,2,12,7,1981,BRO70,6.740000191,72
BRA72,1,29,5,1972,ELG68,6.080000191,28
BRA76,2,21,7,1976,ELG68,8.380000381,81
BRA77,1,14,6,1977,ELG68,5.140000191,44
BRA80,1,19,6,1980,ELG68,8.720000191,49
BRA81,1,15,6,1981,ELG68,11.18999962,45
BRC76,2,4,6,1976,BRA72,8.599999619,34
BRC78,2,17,6,1978,BRA72,8.240000381,47
BRC80,2,4,6,1980,BRA72,8.779999619,34
BRE91,1,6,6,1991,BREND,5.109999809,36
BRF74,2,11,6,1974,FEE71,8.92,41
